date,run,ticker,price,composite,analyst_score,foundation,chg_1m,off_low,target,fresh_turn
2026-08-31,manual,CRM,252.05,97.0,50.0,95.0,33.8,39.5,263,False
2026-08-31,manual,VEEV,282.13,96.9,44.0,100.0,35.7,40.0,294,False
2026-08-31,manual,CRWD,227.96,96.9,54.0,100.0,27.1,23.1,228,False
2026-08-31,manual,PANW,382.85,95.6,50.0,100.0,21.9,17.6,364,False
2026-08-31,manual,ANET,201.09,95.5,83.0,95.0,27.3,17.6,242,False
2026-08-31,manual,NVDA,227.98,95.2,53.0,100.0,20.0,16.9,323,False
2026-08-31,manual,MSFT,505.06,93.6,45.0,93.0,29.6,12.2,569,False
2026-08-31,manual,DELL,472.26,92.5,65.0,84.8,27.8,16.7,510,False
2026-08-31,manual,HPE,54.41,91.0,42.0,93.4,22.4,15.4,65,False
2026-08-31,manual,APA,42.38,89.0,83.0,83.0,15.5,22.3,44,False
2026-08-31,manual,VLO,346.59,88.7,83.0,82.0,15.5,16.2,318,False
2026-08-31,manual,MPC,363.54,87.6,83.0,76.2,18.1,22.4,325,False
2026-08-31,manual,ETN,416.04,87.6,62.0,89.0,15.2,7.8,476,False
2026-08-31,manual,LITE,956.14,86.5,63.0,69.1,58.7,37.9,1148,False
2026-08-31,manual,TEAM,185.62,75.9,33.0,68.0,78.0,89.2,190,False
2026-08-31,manual,IVZ,33.31,75.6,24.0,65.4,19.5,14.0,33,False
2026-08-31,manual,FCX,78.42,73.3,12.0,62.6,30.7,25.2,72,False
